Player ID,Sessions Played,Avg Session Duration (mins),Total Hours Played,Engagement Score,Spending (USD),New Player,Game Mode,Device Used
Player1889,88.0,52.54081305436026,228.48193466997648,6.569164868688968,181.99920245002846,Yes,BATTLEROYALE,Tablet
Playexxr7059,41.0,52.54081305436026,228.48193466997648,3.3547843519602103,181.99920245002846,Nxxo,Casual,PxxC1
Player6122,18.0,52.54081305436026,228.48193466997648,2.478128675241625,181.99920245002846,No,Straxxtegy,PxxC
player1987,79.0,160.0347848912363,228.48193466997648,8.107942799888844,181.99920245002846,No ,Battlexx Royale,PC1
player6339,81.0,,,,181.99920245002846,,Battlexx Royale,
player7586,39.0,163.77198208462167,228.48193466997648,2.3850025603053635,178.5472551212329,Nxxo,Casual,Tablet
Playexxr1886,92.0,163.77198208462167,456.46149248589705,2.3850025603053635,181.99920245002846,Yes ,Casual,PC 
Player6122,72.0,163.77198208462167,456.46149248589705,1.9789299496116015,332.79567564603184,Yes,Strategy ,Console 
Playexxr5697,73.0,163.77198208462167,456.46149248589705,1.9789299496116015,181.99920245002846,Yes,Battle Royale ,PC1
Player9447,33.0,30.31024270504682,456.46149248589705,4.81615217053735,133.1280951465335,Nxxo,Strategy ,
player4707,55.0,,,,181.99920245002846,,Battle Royale ,
Player6604,66.0,,,,181.99920245002846,,strategy,Mobile 
PLAYER5985,41.0,110.18142346483454,456.46149248589705,4.81615217053735,181.99920245002846,Yes,BattleRoyale,
PLAYER2259,97.0,5.579428316510322,456.46149248589705,6.718949154713185,181.99920245002846,yes,Adventure,Tabxxlet
Playexxr3673,92.0,30.66785431821144,453.8402287605709,3.4577158754826582,426.89300773700165,no,CASUAL,
Playexxr8457,70.0,30.66785431821144,492.78953374033546,2.7807948812431023,218.23191712265796,NO,BattleRoyale ,
Player5394,100.0,172.44238471369331,492.78953374033546,2.7807948812431023,181.99920245002846,No,casual,
player6918,99.0,48.19986649894886,492.78953374033546,2.7807948812431023,181.99920245002846,Yes,Battlexx Royale,PxxC
PLAYER7059,71.0,48.19986649894886,492.78953374033546,4.866696286510101,181.99920245002846,No,Adventure ,Tabxxlet
Player1507,27.0,81.25356850485097,492.78953374033546,7.944274416742768,181.99920245002846,NO,Straxxtegy,Conxxsole
Playexxr6410,54.0,81.25356850485097,492.78953374033546,7.944274416742768,181.99920245002846,Nxxo,casual,MOBILE
player8698,99.0,60.98185197531856,418.7900426431523,6.756617159490116,241.145196850196,no,battleroyale,Tablet 
player1685,23.0,81.67101457820874,338.9471246454796,6.963560976388792,150.95664965873317,Yes,Strategy,Mobile
PLAYER1294,71.0,140.4902679844712,262.9075262551227,6.963560976388792,58.891660469227446,Yes ,Strategy,Tabxxlet
Player6339,29.0,140.4902679844712,262.9075262551227,6.963560976388792,276.5092829334864,No,strategy,Mobile
Player5032 ,47.0,173.17852724373438,262.9075262551227,6.963560976388792,181.99920245002846,Yes,strategy,tablet
Player4865,46.0,173.17852724373438,262.9075262551227,1.17528725926665,181.99920245002846,Yes,BATTLE ROYALE,Tabxxlet
Player7833 ,78.0,168.3093294597053,262.9075262551227,1.633163145193309,410.35657432255096,No,Advexxnture,
Player4651,18.0,168.3093294597053,331.6402311945786,3.7990484696890983,181.99920245002846,Yxxes,Adventure,PC1
Player6038,44.0,108.87020389588024,331.6402311945786,3.7990484696890983,181.99920245002846,Yxxes,BattlexxRoyale,PC1 
Player5394 ,98.0,,,,181.99920245002846,,Casual,CONSOLE
Player8618 ,61.0,79.19144732170739,331.6402311945786,3.7990484696890983,181.99920245002846,Yes,Battle royale,Mobile
Player3007 ,91.0,79.19144732170739,331.6402311945786,8.249092039008492,181.99920245002846,Yes,BattleRoyale ,MOBILE
Player4828 ,61.0,79.19144732170739,331.6402311945786,6.162932380290823,5.362704115194794,Nxxo,Adventure,Mobile
PLAYER5394,93.0,138.22120437862586,331.6402311945786,6.162932380290823,181.99920245002846,NO,Adventure ,Mobile 
player8074,81.0,138.22120437862586,331.6402311945786,2.275487159195926,68.42494700753105,No ,Strategy,Pc
PLAYER6541,45.0,72.78443951030621,331.6402311945786,2.275487159195926,58.1452345339894,No ,Battle royale,Console
PLAYER8374,23.0,72.78443951030621,331.6402311945786,2.275487159195926,395.25043336142863,Yes ,BattleRoyale ,Conxxsole
Player1294,28.0,72.78443951030621,331.6402311945786,2.275487159195926,32.6739093025733,Yxxes,Casual,
